Timestamp,O_PortionerForward,O_PortionerReverse,O_PortionerSlow,Portions
1529500945104,0,0,0,4
1529500945204,0,0,0,4
1529500945304,0,0,0,4
1529500945404,0,0,0,4
1529500945505,0,0,0,4
1529500945605,0,0,0,4
1529500945705,0,0,0,4
1529500945806,0,0,0,4
1529500945906,0,0,0,4
1529500946007,0,0,0,4
1529500946107,0,0,0,4
1529500946207,0,0,0,4
1529500946307,0,0,0,4
1529500946407,0,0,0,4
1529500946508,0,0,0,4
1529500946608,0,0,0,4
1529500946708,0,0,0,4
1529500946808,0,0,0,4
1529500946908,0,0,0,4
1529500947009,0,0,0,4
1529500947109,0,0,0,4
1529500947209,0,0,0,4
1529500947309,0,0,0,4
1529500947409,0,0,0,4
1529500947509,0,0,0,4
1529500947610,0,0,0,4
1529500947710,0,0,0,4
1529500947810,0,0,0,4
1529500947910,0,0,0,4
1529500948010,0,0,0,4
1529500948111,0,0,0,4
1529500948211,0,0,0,4
1529500948311,0,0,0,4
1529500948411,0,0,0,4
1529500948511,0,0,0,4
1529500948612,0,0,0,4
1529500948712,0,0,0,4
1529500948812,0,0,0,4
1529500948912,0,0,0,4
1529500949012,0,0,0,4
1529500949113,0,0,0,4
1529500949213,0,0,0,4
1529500949313,0,0,0,4
1529500949413,0,0,0,4
1529500949513,0,0,0,4
1529500949613,0,0,0,4
1529500949714,0,0,0,4
1529500949814,0,0,0,4
1529500949914,0,0,0,4
1529500950014,0,0,0,4
1529500950114,0,0,0,4
1529500950215,0,0,0,4
1529500950315,0,0,0,4
1529500950415,0,0,0,4
1529500950515,0,0,0,4
1529500950615,0,0,0,4
1529500950716,0,0,0,4
1529500950816,0,0,0,4
1529500950916,0,0,0,4
1529500951016,0,0,0,4
1529500951116,0,0,0,4
1529500951217,0,0,0,4
1529500951317,0,0,0,4
1529500951417,0,0,0,4
1529500951517,0,0,0,4
1529500951617,0,0,0,4
1529500951718,0,0,0,4
1529500951818,0,0,0,4
1529500951918,0,0,0,4
1529500952018,0,0,0,4
1529500952118,0,0,0,4
1529500952219,0,0,0,4
1529500952319,0,0,0,4
1529500952419,0,0,0,4
1529500952519,0,0,0,4
1529500952619,0,0,0,4
1529500952719,0,0,0,4
1529500952820,0,0,0,4
1529500952920,0,0,0,4
1529500953020,0,0,0,4
1529500953120,0,0,0,4
1529500953220,0,0,0,4
1529500953321,0,0,0,4
1529500953421,0,0,0,4
1529500953521,0,0,0,4
1529500953621,0,0,0,4
1529500953721,0,0,0,4
1529500953822,0,0,0,4
1529500953922,0,0,0,4
1529500954022,0,0,0,4
1529500954122,0,0,0,4
1529500954225,0,0,0,4
1529500954325,0,0,0,4
1529500954425,0,0,0,4
1529500954525,0,0,0,4
1529500954625,0,0,0,4
1529500954726,0,0,0,4
1529500954828,0,0,0,4
1529500954929,0,0,0,4
1529500955029,0,0,0,4
1529500955129,0,0,0,4
1529500955229,0,0,0,4
1529500955330,0,0,0,4
1529500955430,0,0,0,4
1529500955530,0,0,0,4
1529500955630,0,0,0,4
1529500955730,0,0,0,4
1529500955831,0,0,0,4
1529500955931,0,0,0,4
1529500956031,0,0,0,4
1529500956131,0,0,0,4
1529500956231,0,0,0,4
1529500956331,0,0,0,4
